# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
1856	7186	binary;literature;signaling
23557	780	binary;literature;signaling
25924	5295	binary;literature
56658	7324	binary;literature
135	88	binary;literature;signaling
54474	9055	binary;literature;signaling
7336	9666	binary;literature
55643	5764	binary;literature;signaling
283987	875	binary;literature
10656	80125	binary;literature
259230	6310	binary;literature
84528	8812	binary;literature;signaling
118924	51699	binary;literature
5058	5879	binary;literature;signaling
11335	3930	binary;literature;signaling
663	665	binary;literature
4747	7431	binary;literature
55743	7322	binary;literature
213	51631	binary;literature;signaling
10572	81488	binary;literature;signaling
6092	6749	binary;literature;signaling
2353	5705	binary;literature;signaling
3690	6002	binary;literature
5702	5706	binary;literature;complexes
10342	11161	binary;literature;signaling
1977	25929	binary;literature
56341	8161	binary;literature
2896	8328	binary;literature;signaling
23062	51324	binary;literature;signaling
91703	91703	binary;literature
7189	7334	binary;literature;signaling
1822	64599	binary;literature;signaling
26191	5159	binary;literature
55186	5764	binary;literature
10135	4535	binary;literature
6667	6714	binary;literature
59343	6612	binary;literature;signaling
143241	8382	binary;literature
55183	6168	binary;literature
4281	7324	binary;literature
1054	81488	binary;literature;signaling
56906	83755	binary;literature
2885	9846	binary;literature;signaling
5004	5054	binary;literature;signaling
4175	4175	binary;literature
207	3337	binary;literature
78987	9551	binary;literature;signaling
3117	333	binary;literature;signaling
29979	60626	binary;literature;signaling
379	6638	binary;literature
49855	84466	binary;literature;signaling
3265	5898	binary;literature
6498	79710	binary;literature
226	230	binary;metabolic
509	84337	binary;literature;signaling
2670	26751	binary;literature
130916	6310	binary;literature
190	2516	binary;literature;signaling
55791	998	binary;literature;signaling
3983	83878	binary;literature;signaling
2534	64714	binary;literature
5781	847	binary;literature;signaling
4690	9187	binary;literature
2962	5764	binary;literature;signaling
367	367	regulatory;binary;literature
55743	7324	binary;literature
23352	55660	binary;literature;signaling
2690	5788	binary;literature
3910	5764	binary;literature;signaling
1295	83755	binary;literature;signaling
11129	84528	binary;literature;signaling
79873	83755	binary;literature;signaling
4188	79797	binary;literature;signaling
1499	6500	binary;literature
26994	7322	binary;literature;signaling
2064	5800	binary;literature
1880	9112	binary;literature;signaling
1915	5873	binary;literature;signaling
10989	56893	binary;literature;signaling
1639	4137	binary;literature
5216	9094	binary;literature;signaling
4591	80125	binary;literature
11269	8705	binary;literature
1975	817	binary;literature
10616	27338	binary;literature
25915	2669	binary;literature
7186	79873	binary;literature;signaling
51691	5226	binary;literature;signaling
2670	9883	binary;literature;signaling
22927	7431	binary;literature;signaling
1837	8328	binary;literature;signaling
5973	9189	binary;literature;signaling
3106	55729	binary;literature;signaling
4291	7534	binary;literature;signaling
826	85444	binary;literature;signaling
2316	2534	binary;literature
79797	8940	binary;literature;signaling
22974	6790	binary;literature
22882	6310	binary;literature;signaling
58500	83755	binary;literature;signaling
10615	8751	binary;literature
5764	7159	binary;literature;signaling
1027	8900	binary;literature;signaling
138046	54976	binary;literature
27185	55763	binary;literature
6282	6285	binary;literature;signaling
117144	57596	binary;literature;signaling
5451	7003	binary;literature
7186	7597	binary;literature;signaling
